,idatracacao,cdtup,berco,portoatracacao,ano,mes,tipooperacao,tiponavegacaoatracacao,terminal,nacionalidadearmador,tesperaatracacao,tesperacainicioop,toperacao,tesperadesatracacao,tatracado,testadia,idcarga,origem,destino,cdmercadoria,naturezacarga,teu,qtcarga,pesocargabruta,sentido,cdmercadoria_cntr,pesocarga_cntr
0,788883,BRCDO,101,Cabedelo,2016,ago,Marinha,Apoio Portuário,Cais Público,0,0.08333333343034599,0.083333333255723,20.000000000058,0.16666666668607,20.25,20.333333333429998,17880751,BRIQI,BRCDO,2710,Granel Líquido e Gasoso,0,0,2000.899,Desembarcados,,
1,751889,BRBEL,BELM201,Belém,2016,mar,Movimentação da Carga,Cabotagem,Terminal de Miramar,2,0.0,2.25,30.250000000116,2.25,34.750000000116,34.750000000116,16157250,BRSSA,BRBEL,2710,Granel Líquido e Gasoso,0,0,6213.304,Desembarcados,,
2,751889,BRBEL,BELM201,Belém,2016,mar,Movimentação da Carga,Cabotagem,Terminal de Miramar,2,0.0,2.25,30.250000000116,2.25,34.750000000116,34.750000000116,16157251,BRBEL,BRBEL,CA01,Granel Líquido e Gasoso,0,0,109.0,Embarcados,,
3,797313,BRSE002,Quadro de Bóias,Terminal Aquaviário de Aracaju,2016,out,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Aracaju,1,29.000000000057998,1.3999999998486998,11.800000000047,8.0000000000582,21.199999999953,50.200000000012,17416470,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,12329.332,Embarcados,,
4,794159,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,set,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,1.2999999998718998,2.2999999999884,55.800000000105,2.5999999999185,60.700000000012,61.999999999884004,17344434,BRFOR,BRAM011,2709,Granel Líquido e Gasoso,0,0,13449.126,Desembarcados,,
5,794159,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,set,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,1.2999999998718998,2.2999999999884,55.800000000105,2.5999999999185,60.700000000012,61.999999999884004,17344435,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,17187.06,Desembarcados,,
6,794200,BRSE002,Quadro de Bóias,Terminal Aquaviário de Aracaju,2016,set,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Aracaju,1,16.300000000047,2.4999999999418,15.299999999929998,3.6000000000348997,21.399999999907,37.699999999953,17344478,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,17307.994,Embarcados,,
7,761217,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,mar,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,38.000000000057994,2.7999999998719,19.400000000023,2.8000000000466003,24.999999999942002,63.0,16367646,BRBA003,BRAM011,2710,Granel Líquido e Gasoso,0,0,6468.03,Desembarcados,,
8,794196,BRSE002,Quadro de Bóias,Terminal Aquaviário de Aracaju,2016,set,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Aracaju,1,7.2000000000697995,4.1000000000931,16.299999999872,2.8000000000466003,23.200000000012,30.400000000081,17344471,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,17229.495,Embarcados,,
9,800553,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,out,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,1.5999999999766998,4.0999999999185,44.299999999988,2.4000000001397,50.800000000047,52.400000000023006,17551294,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,7939.357,Desembarcados,,
