,idatracacao,cdtup,berco,portoatracacao,ano,mes,tipooperacao,tiponavegacaoatracacao,terminal,nacionalidadearmador,tesperaatracacao,tesperacainicioop,toperacao,tesperadesatracacao,tatracado,testadia,idcarga,origem,destino,cdmercadoria,naturezacarga,teu,qtcarga,pesocargabruta,sentido,cdmercadoria_cntr,pesocarga_cntr
0,788883,BRCDO,101,Cabedelo,2016,ago,Marinha,Apoio Portuário,Cais Público,0,0.08333333343034599,0.083333333255723,20.000000000058,0.16666666668607,20.25,20.333333333429998,17880751,BRIQI,BRCDO,2710,Granel Líquido e Gasoso,0,0,2000.899,Desembarcados,NULL,NULL
1,751889,BRBEL,BELM201,Belém,2016,mar,Movimentação da Carga,Cabotagem,Terminal de Miramar,2,0.0,2.25,30.250000000116,2.25,34.750000000116,34.750000000116,16157250,BRSSA,BRBEL,2710,Granel Líquido e Gasoso,0,0,6213.304,Desembarcados,NULL,NULL
2,751889,BRBEL,BELM201,Belém,2016,mar,Movimentação da Carga,Cabotagem,Terminal de Miramar,2,0.0,2.25,30.250000000116,2.25,34.750000000116,34.750000000116,16157251,BRBEL,BRBEL,CA01,Granel Líquido e Gasoso,0,0,109.0,Embarcados,NULL,NULL
3,797313,BRSE002,Quadro de Bóias,Terminal Aquaviário de Aracaju,2016,out,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Aracaju,1,29.000000000057998,1.3999999998486998,11.800000000047,8.0000000000582,21.199999999953,50.200000000012,17416470,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,12329.332,Embarcados,NULL,NULL
4,794159,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,set,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,1.2999999998718998,2.2999999999884,55.800000000105,2.5999999999185,60.700000000012,61.999999999884004,17344434,BRFOR,BRAM011,2709,Granel Líquido e Gasoso,0,0,13449.126,Desembarcados,NULL,NULL
5,794159,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,set,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,1.2999999998718998,2.2999999999884,55.800000000105,2.5999999999185,60.700000000012,61.999999999884004,17344435,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,17187.06,Desembarcados,NULL,NULL
6,794200,BRSE002,Quadro de Bóias,Terminal Aquaviário de Aracaju,2016,set,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Aracaju,1,16.300000000047,2.4999999999418,15.299999999929998,3.6000000000348997,21.399999999907,37.699999999953,17344478,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,17307.994,Embarcados,NULL,NULL
7,761217,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,mar,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,38.000000000057994,2.7999999998719,19.400000000023,2.8000000000466003,24.999999999942002,63.0,16367646,BRBA003,BRAM011,2710,Granel Líquido e Gasoso,0,0,6468.03,Desembarcados,NULL,NULL
8,794196,BRSE002,Quadro de Bóias,Terminal Aquaviário de Aracaju,2016,set,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Aracaju,1,7.2000000000697995,4.1000000000931,16.299999999872,2.8000000000466003,23.200000000012,30.400000000081,17344471,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,17229.495,Embarcados,NULL,NULL
9,800553,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,out,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,1.5999999999766998,4.0999999999185,44.299999999988,2.4000000001397,50.800000000047,52.400000000023006,17551294,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,7939.357,Desembarcados,NULL,NULL
10,800553,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,out,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,1.5999999999766998,4.0999999999185,44.299999999988,2.4000000001397,50.800000000047,52.400000000023006,17551295,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,13255.287,Desembarcados,NULL,NULL
11,800553,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,out,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,1.5999999999766998,4.0999999999185,44.299999999988,2.4000000001397,50.800000000047,52.400000000023006,17551296,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,4338.81,Desembarcados,NULL,NULL
12,800553,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,out,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,1.5999999999766998,4.0999999999185,44.299999999988,2.4000000001397,50.800000000047,52.400000000023006,17551297,BRFOR,BRAM011,2709,Granel Líquido e Gasoso,0,0,335.14300000000003,Desembarcados,NULL,NULL
13,784016,BRBEL,BELM201,Belém,2016,ago,Movimentação da Carga,Cabotagem,Terminal de Miramar,2,0.0,1.3333333333139,24.499999999884,8.4166666666861,34.249999999884,34.249999999884,17013657,BRMAO,BRBEL,2710,Granel Líquido e Gasoso,0,0,4046.6009999999997,Desembarcados,NULL,NULL
14,784016,BRBEL,BELM201,Belém,2016,ago,Movimentação da Carga,Cabotagem,Terminal de Miramar,2,0.0,1.3333333333139,24.499999999884,8.4166666666861,34.249999999884,34.249999999884,17013658,BRBEL,BRBEL,CA01,Granel Líquido e Gasoso,0,0,631.63,Embarcados,NULL,NULL
15,784016,BRBEL,BELM201,Belém,2016,ago,Movimentação da Carga,Cabotagem,Terminal de Miramar,2,0.0,1.3333333333139,24.499999999884,8.4166666666861,34.249999999884,34.249999999884,17013659,BRBEL,BRBEL,CA01,Carga Geral,0,0,2.8810000000000002,Embarcados,NULL,NULL
16,802142,BRES008,Monobóia,Terminal Aquaviário do Norte Capixaba,2016,dez,Movimentação da Carga,Cabotagem,Terminal Aquaviário do Norte Capixaba,2,2.4999999999418,4.0999999999185,17.200000000012,4.5,25.79999999993,28.299999999871996,17575382,BRES008,BRSUA,2709,Granel Líquido e Gasoso,0,0,17199.337,Embarcados,NULL,NULL
17,811514,BRBA003,PP-4,Terminal Aquaviário de Madre de Deus,2016,dez,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Madre de Deus,1,10.100000000093,3.7999999998137004,23.300000000163003,4.7166666666744,31.816666666651003,41.916666666744,17876887,BRNAT,BRBA003,2709,Granel Líquido e Gasoso,0,0,17489.191000000003,Desembarcados,NULL,NULL
18,811514,BRBA003,PP-4,Terminal Aquaviário de Madre de Deus,2016,dez,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Madre de Deus,1,10.100000000093,3.7999999998137004,23.300000000163003,4.7166666666744,31.816666666651003,41.916666666744,17876888,BRNAT,BRBA003,2709,Granel Líquido e Gasoso,0,0,5764.619000000001,Desembarcados,NULL,NULL
19,801565,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,out,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,1.4000000000233002,2.4999999999418,33.600000000035,2.9166666667442995,39.016666666721,40.416666666744,17562031,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,11234.506000000001,Desembarcados,NULL,NULL
20,801565,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,out,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,1.4000000000233002,2.4999999999418,33.600000000035,2.9166666667442995,39.016666666721,40.416666666744,17562032,BRFOR,BRAM011,2709,Granel Líquido e Gasoso,0,0,6701.098000000001,Desembarcados,NULL,NULL
21,788167,BRSE002,Quadro de Bóias,Terminal Aquaviário de Aracaju,2016,ago,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Aracaju,1,18.399999999907,2.2999999999884,14.100000000035,3.2999999999302,19.699999999953,38.099999999859996,17126683,BRSE002,BRAM011,2709,Granel Líquido e Gasoso,0,0,15739.843,Embarcados,NULL,NULL
22,783102,BRAM011,POF 3,Terminal Aquaviário de Manaus,2016,jul,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Manaus,1,1.1999999998952,4.0000000001164,44.299999999988,1.2999999998718998,49.599999999976994,50.799999999872,17001291,BRSE002,BRAM011,2710,Granel Líquido e Gasoso,0,0,25367.279,Desembarcados,NULL,NULL
23,808723,BRSUA,Pier de Granéis Líquidos 3 - A,Suape,2016,dez,Movimentação da Carga,Cabotagem,Píer de Graneis Líquidos 3A,1,60.816666666709004,4.1833333333489,32.800000000047,5.5666666666511,42.550000000047,103.36666666676001,17797891,BRES008,BRSUA,2709,Granel Líquido e Gasoso,0,0,34511.0,Desembarcados,NULL,NULL
24,754727,BRSUA,Pier de Granéis Líquidos 2 - Berço Oeste,Suape,2016,fev,Movimentação da Carga,Cabotagem,Píer de Graneis Líquidos 2,1,0.1500000001397,9.983333333220802,26.200000000012,4.1500000000815,40.333333333314,40.483333333454,16201621,BRSUA,BRARB,2710,Granel Líquido e Gasoso,0,0,16843.0,Embarcados,NULL,NULL
25,754708,BRSUA,Cais de Múltiplos Usos - Berço - Leste,Suape,2016,fev,Movimentação da Carga,Cabotagem,Cais de Múltiplos Usos - CMU,1,204.0,0.0,168.70000000001002,0.0,0.0,0.0,16201330,BRSSA,BRSUA,2710,Granel Líquido e Gasoso,0,0,25104.0,Desembarcados,NULL,NULL
26,775454,BRSUA,Cais de Múltiplos Usos - Berço - Leste,Suape,2016,jun,Movimentação da Carga,Cabotagem,Cais de Múltiplos Usos - CMU,1,1.0166666666628,7.466666666558,0.0,16.333333333314,0.0,328.41666666657,16773598,BRARB,BRSUA,2710,Granel Líquido e Gasoso,0,0,26840.0,Desembarcados,NULL,NULL
27,812660,BRVDC,501,Vila do Conde,2016,abr,Movimentação da Carga,Cabotagem,Terminal de Granel Líquido,2,0.0,4.0833333333721,52.666666666686,14.000000000058,70.75000000011599,70.75000000011599,17896605,BRSSZ,BRVDC,2710,Granel Líquido e Gasoso,0,0,25945.15,Desembarcados,NULL,NULL
28,812660,BRVDC,501,Vila do Conde,2016,abr,Movimentação da Carga,Cabotagem,Terminal de Granel Líquido,2,0.0,4.0833333333721,52.666666666686,14.000000000058,70.75000000011599,70.75000000011599,17896606,BRVDC,BRVDC,CA01,Carga Geral,0,0,0.3,Desembarcados,NULL,NULL
29,747662,BRBA003,PP-2,Terminal Aquaviário de Madre de Deus,2016,fev,Movimentação da Carga,Cabotagem,Terminal Aquaviário de Madre de Deus,1,65.299999999988,5.399999999965099,13.300000000047,0.0,82.033333333209,147.3333333332,16036817,BRSUA,BRBA003,2710,Granel Líquido e Gasoso,0,0,16891.433999999997,Desembarcados,NULL,NULL
30,764881,BRPNG,Berço 142,Paranaguá,2016,abr,Movimentação da Carga,Cabotagem,PIER DA PETROBRAS,2,20.266666666721,4.0333333332092,19.5,2.6833333333489,26.216666666557998,46.483333333279,16504827,BRRIG,BRPNG,2710,Granel Líquido e Gasoso,0,0,5448.6140000000005,Desembarcados,NULL,NULL
31,764881,BRPNG,Berço 142,Paranaguá,2016,abr,Movimentação da Carga,Cabotagem,PIER DA PETROBRAS,2,20.266666666721,4.0333333332092,19.5,2.6833333333489,26.216666666557998,46.483333333279,16504828,BRPNG,BRVDC,2710,Granel Líquido e Gasoso,0,0,5550.765,Embarcados,NULL,NULL
